,customer_id,Prob of 0,Prob of 1,Churn
5474,2226-ICFDO,0.8430717863105175,0.15692821368948248,0
5426,1221-GHZEP,0.9544179523141655,0.0455820476858345,0
3563,3807-XHCJH,0.8046767537826685,0.1953232462173315,0
2096,4067-HLYQI,0.9544179523141655,0.0455820476858345,0
7019,9593-CVZKR,0.9544179523141655,0.0455820476858345,0
2399,5380-WJKOV,0.6405135520684736,0.3594864479315264,0
4929,8947-YRTDV,0.8430717863105175,0.15692821368948248,0
5043,1776-SPBWV,0.9544179523141655,0.0455820476858345,0
5241,7009-PCARS,0.9544179523141655,0.0455820476858345,0
847,6888-SBYAI,0.8046767537826685,0.1953232462173315,0
6498,1403-GYAFU,0.9544179523141655,0.0455820476858345,0
597,4847-QNOKA,0.5026455026455027,0.4973544973544973,0
5468,2192-CKRLV,0.8350515463917526,0.16494845360824742,0
2367,5271-DBYSJ,0.4002808988764045,0.5997191011235955,1
2950,8017-LXHFA,0.6405135520684736,0.3594864479315264,0
2276,4853-OITSN,0.4002808988764045,0.5997191011235955,1
2017,3703-VAVCL,0.4002808988764045,0.5997191011235955,1
787,6397-JNZZG,0.9544179523141655,0.0455820476858345,0
4139,4667-QONEA,0.8430717863105175,0.15692821368948248,0
6069,2225-ZRGSG,0.8430717863105175,0.15692821368948248,0
3676,5996-DAOQL,0.8046767537826685,0.1953232462173315,0
2111,4128-ETESU,0.6405135520684736,0.3594864479315264,0
4746,5443-SCMKX,0.6405135520684736,0.3594864479315264,0
3346,9965-YOKZB,0.4002808988764045,0.5997191011235955,1
1600,1867-TJHTS,0.8430717863105175,0.15692821368948248,0
498,4134-BSXLX,0.9544179523141655,0.0455820476858345,0
1644,2058-DCJBE,0.4002808988764045,0.5997191011235955,1
6966,8750-QWZAJ,0.9544179523141655,0.0455820476858345,0
30,0311-QYWSS,0.8046767537826685,0.1953232462173315,0
5695,5792-JALQC,0.9544179523141655,0.0455820476858345,0
3091,8775-ERLNB,0.140625,0.859375,1
1890,3106-ULWFW,0.4002808988764045,0.5997191011235955,1
3643,5260-UMPWX,0.9544179523141655,0.0455820476858345,0
6604,3097-FQTVJ,0.9544179523141655,0.0455820476858345,0
2577,6198-ZFIOJ,0.4002808988764045,0.5997191011235955,1
3328,9904-EHEVJ,0.8430717863105175,0.15692821368948248,0
81,0786-VSSUD,0.8046767537826685,0.1953232462173315,0
6503,1535-VTJOQ,0.9544179523141655,0.0455820476858345,0
6870,7293-LSCDV,0.9544179523141655,0.0455820476858345,0
4209,5985-TBABQ,0.8430717863105175,0.15692821368948248,0
5559,3638-VBZTA,0.8430717863105175,0.15692821368948248,0
2198,4548-SDBKE,0.4002808988764045,0.5997191011235955,1
1777,2674-MLXMN,0.8430717863105175,0.15692821368948248,0
6619,3274-NSDWE,0.9544179523141655,0.0455820476858345,0
3160,9134-CEQMF,0.4002808988764045,0.5997191011235955,1
6325,8152-VETUR,0.8430717863105175,0.15692821368948248,0
5283,8241-JUIQO,0.9544179523141655,0.0455820476858345,0
2183,4484-GLZOU,0.6405135520684736,0.3594864479315264,0
1554,1602-IJQQE,0.4002808988764045,0.5997191011235955,1
4567,2252-ISRNH,0.4002808988764045,0.5997191011235955,1
6563,2428-HYUNX,0.9544179523141655,0.0455820476858345,0
334,2903-YYTBW,0.5026455026455027,0.4973544973544973,0
2828,7410-YTJIK,0.4002808988764045,0.5997191011235955,1
6609,3148-AOIQT,0.9544179523141655,0.0455820476858345,0
2652,6572-ADKRS,0.8430717863105175,0.15692821368948248,0
661,5349-AZPEW,0.5026455026455027,0.4973544973544973,0
1723,2452-SNHFZ,0.8430717863105175,0.15692821368948248,0
4874,7879-CGSFV,0.8430717863105175,0.15692821368948248,0
3490,2542-HYGIQ,0.8046767537826685,0.1953232462173315,0
4768,5811-IWXYM,0.8430717863105175,0.15692821368948248,0
6913,7980-MHFLQ,0.9544179523141655,0.0455820476858345,0
2430,5520-FVEWJ,0.4002808988764045,0.5997191011235955,1
1841,2929-ERCFZ,0.4002808988764045,0.5997191011235955,1
3910,0654-PQKDW,0.9544179523141655,0.0455820476858345,0
1877,3062-ICYZQ,0.6405135520684736,0.3594864479315264,0
2889,7693-LCKZL,0.4002808988764045,0.5997191011235955,1
7021,9625-RZFUK,0.9544179523141655,0.0455820476858345,0
6534,2007-QVGAW,0.9544179523141655,0.0455820476858345,0
4364,8608-OZTLB,0.8350515463917526,0.16494845360824742,0
527,4338-EYCER,0.9544179523141655,0.0455820476858345,0
4171,5196-WPYOW,0.9544179523141655,0.0455820476858345,0
2018,3707-GNWHM,0.140625,0.859375,1
3887,0234-TEVTT,0.9544179523141655,0.0455820476858345,0
